CustomerID,Recommendations
C0001,"[('C0057', 0.9999996055476464), ('C0143', 0.9999994255756885), ('C0120', 0.9999986499499829)]"
C0002,"[('C0157', 0.9999947258503193), ('C0003', 0.9999286146533473), ('C0176', 0.9998961367004288)]"
C0003,"[('C0176', 0.9999969640872167), ('C0030', 0.9999877072287235), ('C0157', 0.9999621471978072)]"
C0004,"[('C0106', 0.999995165661774), ('C0199', 0.9999874503301341), ('C0098', 0.9999817030720912)]"
C0005,"[('C0137', 0.999999897831928), ('C0104', 0.9999997322747474), ('C0092', 0.9999995165903443)]"
C0006,"[('C0100', 0.9999974688874733), ('C0079', 0.9999958794376343), ('C0051', 0.9999951247625245)]"
C0007,"[('C0146', 0.9999983663879033), ('C0015', 0.9999975232301004), ('C0117', 0.99999633537124)]"
C0008,"[('C0147', 0.9999999992170758), ('C0073', 0.9999989844845604), ('C0071', 0.9999988227978752)]"
C0009,"[('C0141', 0.9999999360486226), ('C0061', 0.9999877859462668), ('C0089', 0.9999802107800397)]"
C0010,"[('C0032', 0.9999970038066176), ('C0049', 0.9997452962674593), ('C0091', 0.9995645396395989)]"
C0011,"[('C0177', 0.9999996120437877), ('C0102', 0.9999971038663992), ('C0182', 0.9999936942439221)]"
C0012,"[('C0110', 0.9999994620393798), ('C0192', 0.9999956350801965), ('C0159', 0.9999954058673483)]"
C0013,"[('C0059', 0.9999979395442602), ('C0170', 0.9999968439191703), ('C0054', 0.9999953013974002)]"
C0014,"[('C0098', 0.999999836176961), ('C0199', 0.9999987011003011), ('C0172', 0.9999986863703048)]"
C0015,"[('C0117', 0.9999998840280241), ('C0007', 0.9999975232301004), ('C0146', 0.9999918666515284)]"
C0016,"[('C0020', 0.9999988299955597), ('C0085', 0.999997256433245), ('C0074', 0.9999924883865415)]"
C0017,"[('C0181', 0.9999997676883496), ('C0169', 0.9999990599919927), ('C0047', 0.9999970064329373)]"
C0018,"[('C0070', 0.999999932619616), ('C0041', 0.9999993402920073), ('C0179', 0.999994966939539)]"
C0019,"[('C0136', 0.9999994697800425), ('C0043', 0.9999993077278296), ('C0075', 0.9999766688862353)]"
C0020,"[('C0085', 0.9999996697148694), ('C0016', 0.9999988299955597), ('C0185', 0.9999964462962547)]"
